,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SECTOR,CARRERA,MODO,AREATEMA,MATERIA,NOMBRE CORTO,FECHA,URL,CÁTEDRA,Docente,Hora,Tipo Examen,Control a cargo de:,Observaciones,Material Permitido,Observaciones
5,185,7,12,840,ENERG.Y SOSTENIB.,5/2/2024,https://arquitectura.campusvirtual.ucasal.edu.ar/course/view.php?id=21,-,MARIA LAURA GATTO D'ANDREA,16:00,escrito/cuestionario,Alfredo Rearte,Sin ALumnos,,
5,185,7,12,890,INT.MEC.CONSEV.USO E,5/2/2024,https://arquitectura.campusvirtual.ucasal.edu.ar/course/view.php?id=23,-,LEILA MORA IANNELLI,14:00,,Alfredo Rearte,Sin ALumnos,,
5,185,7,12,960,EFIC.ENREG.AGROPEC.,5/2/2024,https://arquitectura.campusvirtual.ucasal.edu.ar/course/view.php?id=280,-,GUSTAVO DANIEL GIMENEZ,18:00,Oral ,Alfredo Rearte,Collaborate ,,
5,185,7,47,610,SEM.CALC.EV.EF.ENERG,5/2/2024,https://arquitectura.campusvirtual.ucasal.edu.ar/course/view.php?id=29,-,ADRIAN SERGIO GONZALEZ,18:00,Alumno promocionado,Alfredo Rearte,Collaborate ,,
5,185,7,12,980,INT.EF.ENERG.DIS.URB,5/2/2024,https://arquitectura.campusvirtual.ucasal.edu.ar/course/view.php?id=330,-,NORMA GABRIELA FAITANI,16:00,Escrito.,Alfredo Rearte,Sin ALumnos,,
3,244,7,5,0,FILOSOFIA,5/2/2024,https://ciencias-juridicas.campusvirtual.ucasal.edu.ar/course/view.php?id=521,-,CARLOS ANTONIO SOLANO,18:00,Escrito.,DDDI,Examen sin papel,No,
3,244,7,75,2510,TOPOGRAFÍA Y GEODESI,5/2/2024,https://ciencias-juridicas.campusvirtual.ucasal.edu.ar/course/view.php?id=532,-,SONIA CRISTINA AGUILAR,14:00,Escrito.,DDDI,Examen sin papel /configurado/ se envio mail,No,
3,244,7,60,1390,ELEM.Dº REGISTRAL,5/2/2024,https://ciencias-juridicas.campusvirtual.ucasal.edu.ar/course/view.php?id=841,-,CHRISTIAN EMILIO ABDENUR VIDONI,16:00,Escrito.,DDDI,materia promocional ,No,Los alumnos libres deben comunicarse con los docentes para que se genere un Examen
3,361,7,0,100,DOC.SOC.IGLESIA,5/2/2024,https://ciencias-juridicas.campusvirtual.ucasal.edu.ar/course/view.php?id=1815,-,MATIAS PEDRO JEREZ,14:00,Escrito,DDDI,Examen sin papel/ configurado,No,
3,361,7,7,1840,PSIC.SOC.APLICADA,5/2/2024,https://ciencias-juridicas.campusvirtual.ucasal.edu.ar/course/view.php?id=1816,-,MARIA LAURA SILISQUE,18:00,Escrito.,DDDI,Examen sin papel,No,
3,361,7,5,250,ETICA PROFESIONAL,5/2/2024,https://ciencias-juridicas.campusvirtual.ucasal.edu.ar/course/view.php?id=2009,-,MARIA ALFONSINA GIRALDEZ,16:00,Escrito.,DDDI,Examen sin papel,No,
5,185,7,40,475,FUND.FISICA,6/2/2024,https://arquitectura.campusvirtual.ucasal.edu.ar/course/view.php?id=207,-,CAROLA ROSARIO SUJET CHRISTENSEN,16:00,Recurso tarea a desarrollar,Alfredo Rearte,Cuestionario ,,
5,185,7,45,1990,ECON.Y MERC.ENERG.,6/2/2024,https://arquitectura.campusvirtual.ucasal.edu.ar/course/view.php?id=22,-,JAIME PATRICIO MIGUEL PIO DECIMO TORREGROSA MUÑOZ,14:00,Sin alumnos,Alfredo Rearte,Sin ALumnos,,
5,185,7,12,870,ANALIS.CICLO VIDA,6/2/2024,https://arquitectura.campusvirtual.ucasal.edu.ar/course/view.php?id=27,-,ANDREA LORENA NISHIHARA HUN,18:00,Oral,Alfredo Rearte,Collaborate ,,
5,185,7,12,930,EFIC.ENERG.SIST.TRAN,6/2/2024,https://arquitectura.campusvirtual.ucasal.edu.ar/course/view.php?id=277,-,MAXIMILIANO AUGUSTO VELAZQUEZ,18:00,Escrito,Alfredo Rearte,CUESTIONARIO,,
5,185,7,35,2070,DISEÑO DE SIST. EFIC,6/2/2024,https://arquitectura.campusvirtual.ucasal.edu.ar/course/view.php?id=332,-,JAIME PATRICIO MIGUEL PIO DECIMO TORREGROSA MUÑOZ,16:00,Alumnos promocionados,Alfredo Rearte,promocionado,,
3,244,7,25,130,MATEMÁT. Y ESTADÍS.,6/2/2024,https://ciencias-juridicas.campusvirtual.ucasal.edu.ar/course/view.php?id=522,-,MARTIN DAROCA APARICIO,18:00,Escrito,DDDI,Examen sin papel,Herramientas de uso: Calculadora (no de celuar) - Hoja en Blanco - Lapiz,
3,244,7,0,50,TEOLOGIA,6/2/2024,https://ciencias-juridicas.campusvirtual.ucasal.edu.ar/course/view.php?id=527,-,CLAUDIO ARNALDO RAMIREZ,14:00,Escrito,DDDI,Examen sin papel,No,
3,244,7,45,1620,NEGOCIACIÓN COMERC.,6/2/2024,https://ciencias-juridicas.campusvirtual.ucasal.edu.ar/course/view.php?id=830,-,GABRIELA KARINA SCARAFIA,16:00,Escrito,DDDI,Examen sin papel,No,
3,361,7,60,4810,CORR.CRIMINOLÓGICAS,6/2/2024,https://ciencias-juridicas.campusvirtual.ucasal.edu.ar/course/view.php?id=1817,-,JOSE ANTONIO CARRIZO,14:00,Escrito,DDDI,Examen sin papel,No,
3,361,7,60,4820,CS.SOC.YJUR.AP.CRIMI,6/2/2024,https://ciencias-juridicas.campusvirtual.ucasal.edu.ar/course/view.php?id=1818,-,MONICA GRACIELA BUENDIA,18:00,Escrito,DDDI,Examen sin papel,No,
3,361,7,35,2260,DELINC.INFORMÁTICA,6/2/2024,https://ciencias-juridicas.campusvirtual.ucasal.edu.ar/course/view.php?id=2010,-,ANTONIO JAVIER MAZA,16:00,Escrito,DDDI,Examen sin papel,No,
2,9,7,0,100,DOC.SOC.IGLESIA,7/2/2024,https://economia-administracion.campusvirtual.ucasal.edu.ar/course/view.php?id=223,-,CLAUDIO ARNALDO RAMIREZ,18:00,Escrito en sede,Andrea,CUESTIONARIO (SOLO LIBRE C/INSC).- PERMISO y CERTIFICADO OK,,
2,9,7,45,870,PRINCIPIOS DE ECONOM,7/2/2024,https://economia-administracion.campusvirtual.ucasal.edu.ar/course/view.php?id=2246,-,MARIA FERNANDA VITTAR,14:00,Escrito en sede,Andrea, S/A- RECURSO REPLICADO SIN CUESTIONARIO-CERTIF. OK,,
2,9,7,50,1390,ANÁLISIS ORGANIZAC.,7/2/2024,https://economia-administracion.campusvirtual.ucasal.edu.ar/course/view.php?id=2257,-,GONZALO JAVIER RUMI,16:00,Escrito en sede,Andrea,S/A Recurso replicado- certif. ok- falta temario - S/A 05/02,,
2,9,7,50,1390,ANÁLISIS ORGANIZAC.,7/2/2024,https://economia-administracion.campusvirtual.ucasal.edu.ar/course/view.php?id=37,-,FERNANDO ARIAS EVANS,16:00,Escrito en sede,Andrea,CUESTIONARIO.PERMISO-CERTIF- ESCALA OK,"programa de la materia para rendir, siempre y cuando el mismo se encuentre totalmente limpio",
2,9,7,45,870,PRINCIPIOS DE ECONOM,7/2/2024,https://economia-administracion.campusvirtual.ucasal.edu.ar/course/view.php?id=57,-,MARIA FERNANDA VITTAR,14:00,Escrito en sede,Andrea,C/A Regulares cuesionario - certificado listo- escala ok,,
2,10,7,0,50,TEOLOGIA,7/2/2024,https://economia-administracion.campusvirtual.ucasal.edu.ar/course/view.php?id=195,-,CLAUDIO ARNALDO RAMIREZ,16:00,Escrito en sede,Alfredo Rearte,Cuestionario//Certificado ,,
2,10,7,5,0,FILOSOFIA,7/2/2024,https://economia-administracion.campusvirtual.ucasal.edu.ar/course/view.php?id=198,-,PEDRO NICOLAS ROJAS,14:00,Escrito en sede,Alfredo Rearte,Cuestionario // Certificado,,
2,10,7,0,100,DOC.SOC.IGLESIA,7/2/2024,https://economia-administracion.campusvirtual.ucasal.edu.ar/course/view.php?id=224,-,MATIAS PEDRO JEREZ,18:00,Escrito en sede,Alfredo Rearte,Cuestionario // Certificado,,
2,10,7,5,0,FILOSOFIA,7/2/2024,https://economia-administracion.campusvirtual.ucasal.edu.ar/course/view.php?id=2258,-,JESUS SEBASTIAN NUÑEZ,14:00,Escrito en sede,Alfredo Rearte,S/A,,
2,11,7,0,50,TEOLOGIA,7/2/2024,https://economia-administracion.campusvirtual.ucasal.edu.ar/course/view.php?id=195,-,CLAUDIO ARNALDO RAMIREZ,16:00,Escrito en sede,Alfredo Rearte,Cuestionario//Certificado ,,
2,11,7,5,0,FILOSOFIA,7/2/2024,https://economia-administracion.campusvirtual.ucasal.edu.ar/course/view.php?id=198,-,PEDRO NICOLAS ROJAS,14:00,Escrito en sede,Alfredo Rearte,Cuestionario // Certificado,,
2,11,7,0,100,DOC.SOC.IGLESIA,7/2/2024,https://economia-administracion.campusvirtual.ucasal.edu.ar/course/view.php?id=224,-,MATIAS PEDRO JEREZ,18:00,Escrito en sede,Alfredo Rearte,Cuestionario // Certificado,,
2,11,7,5,0,FILOSOFIA,7/2/2024,https://economia-administracion.campusvirtual.ucasal.edu.ar/course/view.php?id=2258,-,PEDRO NICOLAS ROJAS,14:00,Escrito en sede,Alfredo Rearte,S/A,,
2,11,7,0,100,DOC.SOC.IGLESIA,7/2/2024,https://economia-administracion.campusvirtual.ucasal.edu.ar/course/view.php?id=713,-,MATIAS PEDRO JEREZ,18:00,Escrito en sede,Alfredo Rearte,S/A,,
2,14,7,0,50,TEOLOGIA,7/2/2024,https://economia-administracion.campusvirtual.ucasal.edu.ar/course/view.php?id=195,-,CLAUDIO ARNALDO RAMIREZ,16:00,Escrito en sede,Alfredo Rearte,Cuestionario//Certificado ,,
2,14,7,5,0,FILOSOFIA,7/2/2024,https://economia-administracion.campusvirtual.ucasal.edu.ar/course/view.php?id=2208,-,PEDRO NICOLAS ROJAS,14:00,Escrito en sede,Alfredo Rearte,Cuestionario // Certificado,,
2,14,7,0,100,DOC.SOC.IGLESIA,7/2/2024,https://economia-administracion.campusvirtual.ucasal.edu.ar/course/view.php?id=224,-,MATIAS PEDRO JEREZ,18:00,Escrito en sede,Alfredo Rearte,Cuestionario // Certificado,,
2,14,7,5,0,FILOSOFIA,7/2/2024,https://economia-administracion.campusvirtual.ucasal.edu.ar/course/view.php?id=2258,-,JESUS SEBASTIAN NUÑEZ,14:00,Escrito en sede,Alfredo Rearte,S/A,,
2,15,7,45,70,MACROECONOMIA,7/2/2024,https://economia-administracion.campusvirtual.ucasal.edu.ar/course/view.php?id=1888,-,SILVIA MILAGRO ALVAREZ,16:00,Escrito en sede,Alfredo Rearte,S/A,,
2,15,7,45,1860,ESTR. DE DISTRIBUC.,7/2/2024,https://economia-administracion.campusvirtual.ucasal.edu.ar/course/view.php?id=1907,-,CESAR RENATO RAMIREZ,18:00,Escrito en sede,Alfredo Rearte,Cuestionario // Certificado,,
2,15,7,50,1160,INVEST.DE MERCAD. I,7/2/2024,https://economia-administracion.campusvirtual.ucasal.edu.ar/course/view.php?id=1910,-,WALTER ALEJANDRO VIZCARRA,16:00,Escrito en sede,Alfredo Rearte,Cuestionario // Certificado,,
2,15,7,50,3140,PLAN DE NEG.DIGITAL,7/2/2024,https://economia-administracion.campusvirtual.ucasal.edu.ar/course/view.php?id=2187,-,MARCOS AUGUSTO CAMPOS,14:00,ORAL,Alfredo Rearte,"Han sido PROMOCIONALES y, para aquellos alumnos que se presenten en carácter de Libres o Sin Promoción, estará el recurso ""ORAL"" vía Collaborate",,
2,15,7,18,1050,INGLES,7/2/2024,https://economia-administracion.campusvirtual.ucasal.edu.ar/course/view.php?id=2274,-,MARIA ADELA ULDRY FUENTES,18:00,Escrito en sede,Alfredo Rearte,Cuestionario // Certificado,"Se puede utilizar diccionario, unicamente en la seccion de traduccion",
2,15,7,47,400,ANAL.CUANTITATIVO,7/2/2024,https://economia-administracion.campusvirtual.ucasal.edu.ar/course/view.php?id=2277,-,CINTHIA VERONICA FLORES YAÑEZ,14:00,Escrito en sede,Alfredo Rearte,Cuestionario // Certificado,,
2,15,7,47,400,ANAL.CUANTITATIVO,7/2/2024,https://economia-administracion.campusvirtual.ucasal.edu.ar/course/view.php?id=449,-,CINTHIA VERONICA FLORES YAÑEZ,14:00,Escrito en sede,Alfredo Rearte,Cuestionario // Certificado,,
2,15,7,47,550,ANALISIS CUANTIT. I,7/2/2024,https://economia-administracion.campusvirtual.ucasal.edu.ar/course/view.php?id=449,-,CINTHIA VERONICA FLORES YAÑEZ,14:00,Escrito en sede,Alfredo Rearte,Cuestionario // Certificado,,
2,15,7,50,1160,INVEST.DE MERCAD. I,7/2/2024,https://economia-administracion.campusvirtual.ucasal.edu.ar/course/view.php?id=457,-,WALTER ALEJANDRO VIZCARRA,16:00,Escrito en sede,Alfredo Rearte,S/A,,
2,15,7,45,70,MACROECONOMIA,7/2/2024,https://economia-administracion.campusvirtual.ucasal.edu.ar/course/view.php?id=462,-,SILVIA MILAGRO ALVAREZ,16:00,Escrito en sede,Alfredo Rearte,S/A,,
2,15,7,18,710,INGLES I,7/2/2024,https://economia-administracion.campusvirtual.ucasal.edu.ar/course/view.php?id=467,-,MARIA ADELA ULDRY FUENTES,18:00,Escrito en sede,Alfredo Rearte,Cuestionario // Certificado,"Se puede utilizar diccionario, unicamente en la seccion de traduccion",
2,15,7,18,1050,INGLES,7/2/2024,https://economia-administracion.campusvirtual.ucasal.edu.ar/course/view.php?id=467,-,MARIA ADELA ULDRY FUENTES,18:00,Escrito en sede,Alfredo Rearte,Cuestionario // Certificado,"Se puede utilizar diccionario, unicamente en la seccion de traduccion",
2,15,7,18,720,INGLES II,7/2/2024,https://economia-administracion.campusvirtual.ucasal.edu.ar/course/view.php?id=473,-,MARIA ADELA ULDRY FUENTES,18:00,Escrito en sede,Alfredo Rearte,Cuestionario // Certificado,"Se puede utilizar diccionario, unicamente en la seccion de traduccion",
2,15,7,18,730,INGLES III,7/2/2024,https://economia-administracion.campusvirtual.ucasal.edu.ar/course/view.php?id=476,-,MARIA ADELA ULDRY FUENTES,18:00,Escrito en sede,Alfredo Rearte,S/A,"Se puede utilizar diccionario, unicamente en la seccion de traduccion",
3,16,7,60,4370,Dº COMERCIAL USU Y,7/2/2024,https://ciencias-juridicas.campusvirtual.ucasal.edu.ar/course/view.php?id=1512,A,SUSANA GRACIELA JUNQUEIRA,18:00,ESCRITO EN SEDE,Silvana,listo ,NO BIBLIOGRAFÍA,
3,16,7,60,350,DERECHO COMERCIAL,7/2/2024,https://ciencias-juridicas.campusvirtual.ucasal.edu.ar/course/view.php?id=1512,A,SUSANA GRACIELA JUNQUEIRA,18:00,ESCRITO EN SEDE,Silvana,,NO BIBLIOGRAFÍA,
3,16,7,60,1351,DºPRIV GENERAL,7/2/2024,https://ciencias-juridicas.campusvirtual.ucasal.edu.ar/course/view.php?id=1529,C,MARIA ANGELA BARROETAVEÑA,16:00,ESCRITO EN SEDE,Silvana,Listo ,NO BIBLIOGRAFÍA,
3,16,7,60,300,Dº CIVIL GRAL.,7/2/2024,https://ciencias-juridicas.campusvirtual.ucasal.edu.ar/course/view.php?id=1529,C,MARIA ANGELA BARROETAVEÑA,16:00,ESCRITO EN SEDE,Silvana,,NO BIBLIOGRAFÍA,
3,16,7,60,1351,DºPRIV GENERAL,7/2/2024,https://ciencias-juridicas.campusvirtual.ucasal.edu.ar/course/view.php?id=1532,A,ALEJANDRA MARIA ETCHEVERRY,16:00,ESCRITO EN SEDE,Silvana,Listo ,NO BIBLIOGRAFÍA,
3,16,7,60,300,Dº CIVIL GRAL.,7/2/2024,https://ciencias-juridicas.campusvirtual.ucasal.edu.ar/course/view.php?id=1532,A,ALEJANDRA MARIA ETCHEVERRY,16:00,ESCRITO EN SEDE,Silvana,,NO BIBLIOGRAFÍA,
3,16,7,60,1351,DºPRIV GENERAL,7/2/2024,https://ciencias-juridicas.campusvirtual.ucasal.edu.ar/course/view.php?id=1533,B,CARLOS ALBERTO ATENCIO,17:00 16:00,ORAL                 ESCRITO EN SEDE,Silvana,listo ,NO BIBLIOGRAFÍA,"Presencial para los alumnos de Salta en Campus Castañares (17hs), el resto del país rinde escrito en sede (16hs)."
3,16,7,60,300,Dº CIVIL GRAL.,7/2/2024,https://ciencias-juridicas.campusvirtual.ucasal.edu.ar/course/view.php?id=1533,B,CARLOS ALBERTO ATENCIO,17:00 16:00,ORAL                 ESCRITO EN SEDE,Silvana,,NO BIBLIOGRAFÍA,"Presencial para los alumnos de Salta en Campus Castañares (17hs), el resto del país rinde escrito en sede (16hs)."
3,16,7,60,4360,Dº EMPRESARIAL,7/2/2024,https://ciencias-juridicas.campusvirtual.ucasal.edu.ar/course/view.php?id=1564,C,VIOLETA AMADEA BARRIOS,18:00,ESCRITO EN SEDE,Silvana,temario cargo docente oculto (falta 8707),NO BIBLIOGRAFÍA,
3,16,7,60,910,D°ADMINISTRATIVO,7/2/2024,https://ciencias-juridicas.campusvirtual.ucasal.edu.ar/course/view.php?id=1566,C,GRACIELA  BEATRIZ NUÑEZ GODOY,14:00,ESCRITO EN SEDE,Silvana,Listo ,NO BIBLIOGRAFÍA,
3,16,7,60,4390,Dº ADMINISTRATIVO,7/2/2024,https://ciencias-juridicas.campusvirtual.ucasal.edu.ar/course/view.php?id=1566,C,GRACIELA  BEATRIZ NUÑEZ GODOY,14:00,ESCRITO EN SEDE,Silvana,,NO BIBLIOGRAFÍA,
3,16,7,46,70,FZAS Y Dº FCIER,7/2/2024,https://ciencias-juridicas.campusvirtual.ucasal.edu.ar/course/view.php?id=1646,C,RAUL EDUARDO PIAGGIO,18:00,ESCRITO EN SEDE,Silvana,Listo,NO BIBLIOGRAFÍA,"Se permite el uso de la ley 11.683 de Procedimiento tributario, ley 27.430 Penal Tributaria, Ley de Procedimiento Administrativo 19.549,  y  los Decretos 618/97, Decreto 1397/79 y el decreto 1759/72.-"
3,16,7,60,4490,Dº FINANCIERO Y TRIB,7/2/2024,https://ciencias-juridicas.campusvirtual.ucasal.edu.ar/course/view.php?id=1646,C,RAUL EDUARDO PIAGGIO,18:00,ESCRITO EN SEDE,Silvana,,NO BIBLIOGRAFÍA,"Se permite el uso de la ley 11.683 de Procedimiento tributario, ley 27.430 Penal Tributaria, Ley de Procedimiento Administrativo 19.549, y los Decretos 618/97, Decreto 1397/79 y el decreto 1759/72.-"
3,16,7,60,350,DERECHO COMERCIAL,7/2/2024,https://ciencias-juridicas.campusvirtual.ucasal.edu.ar/course/view.php?id=1679,B,MIGUEL OMAR FERNANDEZ,17:00,ORAL VIRTUAL,Silvana,17:00 Hs.,NO BIBLIOGRAFÍA,"Examen virtual domiciliario, asegurar funcionamieto de cámara y micrófono, caso contrario no se evaluará."
3,16,7,60,4370,Dº COMERCIAL USU Y,7/2/2024,https://ciencias-juridicas.campusvirtual.ucasal.edu.ar/course/view.php?id=1679,B,MIGUEL OMAR FERNANDEZ,17:00,ORAL VIRTUAL,Silvana,,NO BIBLIOGRAFÍA,"Examen virtual domiciliario, asegurar funcionamieto de cámara y micrófono, caso contrario no se evaluará."
3,16,7,60,350,DERECHO COMERCIAL,7/2/2024,https://ciencias-juridicas.campusvirtual.ucasal.edu.ar/course/view.php?id=1680,C,VIOLETA AMADEA BARRIOS,18:00,ESCRITO EN SEDE,Silvana,listo ,NO BIBLIOGRAFÍA,
3,16,7,60,4370,Dº COMERCIAL USU Y,7/2/2024,https://ciencias-juridicas.campusvirtual.ucasal.edu.ar/course/view.php?id=1680,C,JUANA ALICIA BARANDA,18:00,ESCRITO EN SEDE,Silvana,,NO BIBLIOGRAFÍA,
3,16,7,60,4490,Dº FINANCIERO Y TRIB,7/2/2024,https://ciencias-juridicas.campusvirtual.ucasal.edu.ar/course/view.php?id=299,A,SEBASTIAN PARMENION ESPECHE,18:00,ESCRITO EN SEDE,Silvana,Listo ,NO BIBLIOGRAFÍA,
